address,distance,review_count,ratings,chain,city,lat,long
1,21.95477073606609,2.0,4.5,1,4,37.56295,-122.01004
2,28.705813520976,3.0,4.5,2,4,37.4890666928572,-121.929413750767
5,23.142416729285177,1.0,4.0,1,4,37.551315128803296,-121.993849799037
1,23.485505787696766,2.0,4.5,1,4,37.5536945,-121.981043
5,20.08046286521707,1.0,4.0,1,4,37.576149,-122.0437049
2,24.26169437150165,1.0,4.0,1,3,37.5229604101756,-122.005785632481
2,28.739918537557934,3.0,4.0,8,4,37.4885682635695,-121.929191268869
1,28.70409968324244,1.0,4.5,7,4,37.4884429093476,-121.930383669657
2,28.590147313409226,2.0,3.5,1,4,37.4922976027806,-121.92791871353998
1,26.563476946721902,2.0,3.5,5,4,37.5007782876492,-121.973167955875
5,20.1563830308412,2.0,3.5,1,4,37.575448103287,-122.042586920966
2,28.45444789285012,2.0,4.0,1,4,37.493541436044296,-121.929889351584
1,24.987754147142912,1.0,3.5,1,4,37.5195973820395,-121.989493228847
1,26.39955750162774,1.0,3.5,16,4,37.504992442164,-121.971231736243
2,21.24757966527483,2.0,4.0,16,3,37.550693578717,-122.051467484131
1,25.450385586873345,1.0,4.0,15,4,37.53195,-121.95789
1,26.26690206018599,1.0,3.5,1,4,37.5312314119298,-121.937047836775
2,21.23842337122072,2.0,4.0,2,3,37.55150491512379,-122.050272187505
2,24.68974076814885,1.0,4.0,8,3,37.5208,-121.996426
5,20.31154222198968,2.0,3.5,1,4,37.57509,-122.0386
1,23.78788849988121,1.0,3.0,1,4,37.543782,-121.986825
2,24.2116621659157,3.0,3.5,1,3,37.523356,-122.006645
1,26.58839716377273,4.0,3.0,2,4,37.500044,-121.973622
5,20.238614040107525,1.0,3.5,1,4,37.5757,-122.03977
2,26.91759024907747,1.0,3.5,1,4,37.53181,-121.91944
2,18.42423967839852,1.0,3.5,1,2,37.5897191178595,-122.071148412967
1,25.07017876135288,1.0,3.5,1,4,37.51806664196421,-121.989524069478
2,30.303241012583047,5.0,4.0,2,3,37.3929561,-122.0792811
8,29.142158371648872,3.0,4.0,9,1,37.401254171244,-122.114469291963
2,28.41675720062713,2.0,3.5,18,4,37.4932967,-121.9312981
1,26.9345329049032,1.0,4.0,1,4,37.53049850463871,-121.920637562871
5,21.76057493393177,1.0,3.0,18,4,37.5631118502019,-122.015291475919
2,20.21370805511373,2.0,4.0,1,2,37.588998700000005,-122.02086570000002
1,20.23586442414465,2.0,3.5,15,2,37.587234,-122.022712
2,36.530054121284,3.0,4.0,1,4,37.3878,-121.86019
1,13.16772906962403,2.0,4.0,16,2,37.695911,-122.072915
1,21.427476696806007,1.0,3.5,1,3,37.54872,-122.04928999999998
2,31.15485596864168,2.0,4.0,1,4,37.4547351745994,-121.911571876169
2,20.191427486341727,2.0,3.5,2,2,37.5895754513833,-122.020674874683
1,26.983072518848594,1.0,4.0,1,3,37.42655,-122.14632
1,32.98523733053996,3.0,4.0,16,4,37.43274,-121.89277
2,18.5540189422168,1.0,3.5,1,2,37.5894163879108,-122.067683412499
2,28.423703575945503,2.0,4.0,1,4,37.49369,-121.93053
2,26.877885523323467,1.0,3.5,1,4,37.53259,-121.91949
1,32.36831248536597,1.0,4.5,2,4,37.42644,-121.92162
2,31.164265537802866,2.0,4.5,1,4,37.4555854711176,-121.909984275479
2,32.84488140055842,4.0,4.0,4,4,37.4208151690146,-121.916592059012
2,20.155135965747487,3.0,3.5,6,2,37.589445484175,-122.02183395763
1,25.37740972857608,1.0,4.0,8,3,37.447628,-122.160728
2,10.939921146109205,1.0,4.0,15,4,37.687487183018,-122.136023640633
1,1.7129108938253124,6.0,4.0,6,4,37.7899434017563,-122.407306303981
1,1.1175614580220814,4.0,4.0,6,4,37.75994,-122.42112
4,2.753451614748738,4.0,4.0,1,4,37.7633252984489,-122.479877762902
4,1.6915942085473177,3.0,4.0,1,4,37.781425,-122.46080220000002
1,1.625559960967509,2.0,4.0,9,4,37.7963159707234,-122.421975955367
1,0.6717473573541424,2.0,4.0,6,4,37.78365,-122.43247
2,1.8676733848315696,2.0,4.5,16,4,37.7905719929647,-122.404304221272
1,0.4299042822286046,2.0,4.0,6,4,37.7728849972724,-122.423546388745
2,1.906825152481108,6.0,3.5,1,4,37.7914264423265,-122.404249032891
1,1.8897156577877967,2.0,4.5,1,4,37.7932604402304,-122.406762465835
1,3.6353699632478382,7.0,3.5,3,4,37.775906,-122.497818
1,3.701807636168075,1.0,4.5,1,4,37.7254643,-122.402527
2,1.800377637982928,2.0,4.0,2,4,37.7881894888854,-122.40366820246
1,3.345476319145648,2.0,4.0,5,4,37.742921200000005,-122.4782898
1,1.938839015220214,1.0,4.0,6,4,37.7665676429306,-122.397055947925
4,2.5384206535088305,1.0,4.0,1,4,37.780295679705,-122.477084781597
1,1.988683903702712,1.0,4.0,1,4,37.7803345695326,-122.395782692426
2,3.5143548690983373,1.0,4.0,1,4,37.72322,-122.43556
4,2.680189661048864,3.0,3.5,4,4,37.7636264,-122.4785915
1,3.504146822372437,1.0,4.0,1,4,37.75339,-122.48993
4,2.883249013457447,1.0,4.5,1,4,37.7634668052021,-122.482386571049
1,2.44169328776548,1.0,4.5,1,4,37.7635576540922,-122.38857708871402
1,2.269281000447122,1.0,4.0,1,4,37.7825348173521,-122.391180229883
2,2.7047127329251577,1.0,3.5,1,4,37.7822781354189,-122.479696422815
0,1.209489688981511,1.0,4.5,1,4,37.77448,-122.40916
1,1.0926558621455178,2.0,4.5,1,4,37.7879050728042,-122.440761682097
4,2.815877930758325,2.0,3.5,16,4,37.7635307,-122.4811325
4,2.3358803244756667,1.0,4.5,1,4,37.7804213,-122.4732843
1,1.6850283644883115,2.0,3.5,15,4,37.7844643265332,-122.403442928242
4,1.967444124209732,1.0,3.5,1,4,37.7639596,-122.465019
1,2.887108658681889,1.0,3.5,1,4,37.7542929,-122.4779253
1,3.467897113905265,1.0,3.5,1,4,37.74263911974271,-122.480892284656
1,1.8975175948515453,1.0,4.5,1,4,37.7955593172737,-122.409816160798
1,1.956853453591219,1.0,3.5,1,4,37.7830442934418,-122.465241822931
4,2.535722922737929,1.0,3.5,1,4,37.7805467694998,-122.476978003979
2,2.2106805759473778,1.0,3.5,1,4,37.7829,-122.47017
1,2.270407040296805,1.0,4.0,1,4,37.7787070106078,-122.39015746223998
1,2.74625348472134,1.0,3.5,1,4,37.73429,-122.43417
1,3.709379079449677,1.0,3.5,5,4,37.7242954229777,-122.457044541931
1,2.1077134040445102,1.0,5.0,1,4,37.7975399525428,-122.406789958477
1,1.9355943406419416,1.0,3.5,3,4,37.794315000000005,-122.406927
2,1.192779518299779,1.0,4.5,1,4,37.75948,-122.41943
1,3.727289270412992,1.0,4.5,1,4,37.723259000000006,-122.4545593
2,2.0680562329666183,1.0,4.5,1,4,37.7957899,-122.40537
2,1.9263056107799368,1.0,3.5,1,4,37.7828876674175,-122.464718297124
2,4.872443241918666,1.0,3.5,1,1,37.70689,-122.4588
4,2.5283104993601326,1.0,3.5,1,4,37.78076,-122.47679
4,1.2898469230539753,2.0,4.0,1,4,37.78142929999999,-122.45294950000002
4,2.075973898966752,1.0,3.5,1,4,37.76384,-122.46708
4,2.9435564679474115,2.0,4.0,9,4,37.7804,-122.48458
2,0.2601409742205844,2.0,4.0,16,3,37.800613594099296,-122.270676903427
1,2.07558295262753,3.0,3.5,2,3,37.828969,-122.249297
1,0.2756164380057431,1.0,4.0,1,3,37.8004754,-122.2722423
2,4.396467354984965,2.0,4.0,1,2,37.8678697054593,-122.266082279384
2,0.273542790510921,2.0,4.0,1,3,37.80044555664061,-122.271835327148
4,4.671999835089594,4.0,4.0,2,2,37.87195820000001,-122.268859
2,3.0689796870894246,1.0,4.0,16,2,37.7673552038867,-122.240029983222
2,0.2400747890225002,1.0,3.0,18,3,37.8009841,-122.2700858
1,2.5659473848828056,1.0,4.0,1,3,37.83818,-122.25168
2,4.4626194897394695,2.0,4.0,15,2,37.8684064,-122.2605113
1,4.59728742780529,1.0,4.0,1,2,37.87087,-122.26857
2,15.301518651049408,2.0,4.0,1,2,37.9485708483184,-122.058178750759
1,4.468783581780003,1.0,4.0,1,2,37.86821,-122.25803
1,1.3408702620504729,1.0,3.5,15,2,37.786721500000006,-122.2813447
1,4.572675416443196,2.0,3.5,3,2,37.8704335,-122.2662693
2,3.195985265436262,1.0,3.5,1,2,37.763940000000005,-122.24266
1,13.248404108563957,1.0,4.0,16,2,37.8981318936801,-122.059291005135
2,0.3440509740622006,1.0,3.5,2,3,37.7994484,-122.2700968
1,1.385892362883104,1.0,4.0,1,3,37.81106,-122.24718
2,2.343832890022149,1.0,4.0,1,2,37.770820099746,-122.277515907933
1,3.16645247750779,1.0,4.5,25,3,37.7765099,-122.2250587
1,8.512779029948158,2.0,4.0,16,4,37.72272,-122.15439
2,0.2556958608450202,1.0,3.5,1,3,37.8007358,-122.270182
2,4.500211256432386,1.0,4.0,1,2,37.86864,-122.25779
1,0.5210330548803852,2.0,4.0,1,3,37.810970000000005,-122.26651
1,0.2091325905446667,1.0,3.0,1,3,37.8064126521349,-122.268292084336
1,3.135772661371744,1.0,3.5,18,2,37.76509,-122.24233
2,3.2069125536877285,1.0,3.5,1,2,37.76353,-122.24318999999998
1,1.383224312672339,1.0,5.0,1,3,37.8110686341717,-122.247235737741
1,6.443307285384,1.0,4.5,1,1,37.6834642,-122.4028888
1,0.2552403865024359,2.0,4.5,1,3,37.807609480553495,-122.268880033234
2,0.3935369880525127,1.0,2.5,2,3,37.7989615787538,-122.268823823837
1,0.3596433081658046,1.0,4.5,1,3,37.7996292114258,-122.268371582031
5,8.4511157265899,2.0,3.5,18,4,37.723825,-122.154663
1,1.545712670348944,1.0,3.5,25,3,37.810621779569104,-122.24392622709298
1,4.755640816067345,1.0,4.0,1,2,37.8731630455033,-122.268577069044
2,0.2389856425353382,4.0,3.5,1,3,37.800992,-122.2701305
1,42.885109370392826,7.0,4.0,1,4,37.314558499499896,-121.790188997984
2,39.70031016375859,3.0,4.0,1,4,37.3323443189417,-121.857742217231
2,39.77969935028105,2.0,4.0,1,4,37.3311487640944,-121.85737667523
1,43.12231844349739,2.0,4.0,1,4,37.25336,-121.9015
1,37.37523254742036,2.0,4.0,9,4,37.3157651,-121.9782757
1,41.18680817113376,2.0,4.0,1,4,37.3105199,-121.84997
1,44.17852340420696,2.0,4.0,1,4,37.267032623291,-121.834053039551
2,42.443722392104654,2.0,4.5,7,4,37.308647,-121.813461
1,38.87849709707325,2.0,3.5,1,4,37.332404,-121.8845467
1,37.47431538806011,1.0,4.0,1,4,37.3529399,-121.89176
1,38.46158149107823,1.0,5.0,1,4,37.33709,-121.88941
2,39.75082982278157,2.0,4.0,2,4,37.3319875706985,-121.856774212303
1,38.483062646734005,1.0,4.0,2,4,37.338629553452,-121.885706819594
1,42.362935108273184,2.0,4.0,16,4,37.3122516785924,-121.809769305956
1,38.45699789381354,2.0,3.5,2,4,37.309534,-121.949649
2,35.8015740284245,1.0,4.0,1,4,37.386980020394894,-121.883576139808
1,44.57065733479445,1.0,4.0,1,4,37.248688599353,-121.857970789389
1,44.564250631304,1.0,4.5,1,4,37.2525199,-121.8501
1,37.06169179755196,2.0,4.0,2,4,37.30865701383011,-122.012592169713
