id,cleaned_id
520.0,2.0
971.0,3.0
394.0,1.0
451.0,2.0
127.0,1.0
324.0,1.0
1125.0,3.0
245.0,1.0
552.0,2.0
618.0,2.0
573.0,2.0
404.0,2.0
314.0,1.0
388.0,1.0
478.0,2.0
173.0,1.0
29.0,1.0
625.0,2.0
180.0,1.0
510.0,2.0
249.0,1.0
855.0,3.0
1266.0,4.0
174.0,1.0
169.0,1.0
304.0,1.0
341.0,1.0
1598.0,5.0
937.0,3.0
415.0,2.0
132.0,1.0
251.0,1.0
729.0,2.0
422.0,2.0
937.0,3.0
548.0,2.0
113.0,1.0
590.0,2.0
451.0,2.0
278.0,1.0
852.0,3.0
186.0,1.0
410.0,2.0
116.0,1.0
305.0,1.0
784.0,2.0
1244.0,4.0
836.0,3.0
361.0,1.0
284.0,1.0
2039.0,6.0
1506.0,4.0
1284.0,4.0
788.0,3.0
608.0,2.0
719.0,2.0
575.0,2.0
568.0,2.0
2033.0,6.0
402.0,2.0
2461.0,7.0
177.0,1.0
631.0,2.0
614.0,2.0
364.0,1.0
255.0,1.0
196.0,1.0
264.0,1.0
1179.0,3.0
318.0,1.0
116.0,1.0
89.0,1.0
285.0,1.0
182.0,1.0
73.0,1.0
472.0,2.0
500.0,2.0
207.0,1.0
502.0,2.0
106.0,1.0
346.0,1.0
262.0,1.0
51.0,1.0
300.0,1.0
206.0,1.0
238.0,1.0
40.0,1.0
166.0,1.0
303.0,1.0
103.0,1.0
163.0,1.0
228.0,1.0
156.0,1.0
114.0,1.0
283.0,1.0
187.0,1.0
92.0,1.0
459.0,2.0
1.0,1.0
619.0,2.0
607.0,2.0
904.0,3.0
101.0,1.0
775.0,2.0
413.0,2.0
1493.0,4.0
357.0,1.0
311.0,1.0
80.0,1.0
566.0,2.0
332.0,1.0
609.0,2.0
162.0,1.0
231.0,1.0
704.0,2.0
217.0,1.0
136.0,1.0
221.0,1.0
252.0,1.0
62.0,1.0
91.0,1.0
459.0,2.0
61.0,1.0
367.0,1.0
501.0,2.0
20.0,1.0
193.0,1.0
387.0,1.0
252.0,1.0
189.0,1.0
463.0,2.0
71.0,1.0
190.0,1.0
637.0,2.0
50.0,1.0
52.0,1.0
1492.0,4.0
2384.0,7.0
1058.0,3.0
396.0,2.0
582.0,2.0
772.0,2.0
551.0,2.0
610.0,2.0
546.0,2.0
572.0,2.0
391.0,1.0
32.0,1.0
709.0,2.0
101.0,1.0
558.0,2.0
501.0,2.0
182.0,1.0
320.0,1.0
105.0,1.0
531.0,2.0
462.0,2.0
548.0,2.0
154.0,1.0
798.0,3.0
604.0,2.0
420.0,2.0
253.0,1.0
334.0,1.0
247.0,1.0
230.0,1.0
354.0,1.0
961.0,3.0
381.0,1.0
745.0,2.0
286.0,1.0
114.0,1.0
554.0,2.0
1456.0,4.0
573.0,2.0
514.0,2.0
299.0,1.0
100.0,1.0
139.0,1.0
521.0,2.0
585.0,2.0
313.0,1.0
854.0,3.0
36.0,1.0
3462.0,9.0
